# Resolved pools list by minerstat for msOS
# Updated Fri Jun  6 03:00:33 UTC 2025
104.26.4.192 2miners.com
95.217.197.180 51pool.online
162.19.139.120 ae.2miners.com
44.213.46.149 aeon.minercountry.com
188.165.24.209 aergo.eu.mine.zpool.ca
198.50.168.213 aergo.jp.mine.zpool.ca
198.50.168.213 aergo.na.mine.zpool.ca
94.23.162.9 ahamay.net
37.26.136.250 aikapool.com
89.116.109.54 aionmine.org
162.19.139.120 aka.2miners.com
192.99.244.230 akroma.wattpool.net
51.79.251.11 allium.asia.mine.zergpool.com
188.165.24.209 allium.eu.mine.zpool.ca
198.50.168.213 allium.jp.mine.zpool.ca
103.249.70.7 allium.mine.zergpool.com
198.50.168.213 allium.na.mine.zpool.ca
15.235.43.55 americas.equihash.mining-dutch.nl
15.235.43.55 americas.groestl.mining-dutch.nl
15.235.43.55 americas.kawpow.mining-dutch.nl
15.235.43.55 americas.keccak.mining-dutch.nl
15.235.43.55 americas.lyra2rev2.mining-dutch.nl
15.235.43.55 americas.myrgro.mining-dutch.nl
15.235.43.55 americas.neoscrypt.mining-dutch.nl
15.235.43.55 americas.qubit.mining-dutch.nl
15.235.43.55 americas.scrypt.mining-dutch.nl
15.235.43.55 americas.sha256.mining-dutch.nl
15.235.43.55 americas.skein.mining-dutch.nl
15.235.43.55 americas.tribus.mining-dutch.nl
15.235.43.55 americas.x11.mining-dutch.nl
15.235.43.55 americas.x11gost.mining-dutch.nl
15.235.43.55 americas.yescrypt.mining-dutch.nl
15.235.43.55 americas.yescryptr16.mining-dutch.nl
15.235.43.55 americas.yescryptr32.mining-dutch.nl
15.235.43.55 americas.yespower.mining-dutch.nl
15.235.43.55 americas.yespowerr16.mining-dutch.nl
162.19.139.181 anon.2miners.com
54.36.51.140 anon.altpool.pro
172.104.181.35 ap-01.miningrigrentals.com
139.99.123.225 ap.luckpool.net
18.193.115.229 ap.nimpool.io
103.224.182.238 api.bsod.pw
198.50.168.213 arctichash.na.mine.zpool.ca
44.213.46.149 argon2.minercountry.com
188.165.24.209 argon2d-dyn.eu.mine.zpool.ca
198.50.168.213 argon2d-dyn.jp.mine.zpool.ca
198.50.168.213 argon2d-dyn.na.mine.zpool.ca
51.79.251.11 argon2d250.asia.mine.zergpool.com
141.95.55.97 argon2d250.eu.mine.zergpool.com
103.249.70.7 argon2d250.mine.zergpool.com
51.79.251.11 argon2d4096.asia.mine.zergpool.com
141.95.55.97 argon2d4096.eu.mine.zergpool.com
188.165.24.209 argon2d4096.eu.mine.zpool.ca
103.249.70.7 argon2d4096.mine.zergpool.com
198.50.168.213 argon2d4096.na.mine.zpool.ca
188.165.24.209 argon2d500.eu.mine.zpool.ca
198.50.168.213 argon2d500.na.mine.zpool.ca
76.223.54.146 arms01.p2poolmining.us
82.69.122.59 arq.pool.gntl.co.uk
198.100.144.29 arrow.dapool.io
35.202.11.182 arrr-eu.luxor.tech
35.202.11.182 arrr-us.luxor.tech
34.107.188.7 arrr.luxor.tech
162.19.139.120 asia-ae.2miners.com
15.235.212.90 asia-beam.2miners.com
162.19.139.181 asia-btg.2miners.com
15.235.212.90 asia-ckb.2miners.com
15.235.212.91 asia-etc.2miners.com
162.19.139.184 asia-grin.2miners.com
162.19.139.120 asia-solo-ae.2miners.com
15.235.212.90 asia-solo-btg.2miners.com
15.235.212.91 asia-solo-etc.2miners.com
162.19.139.181 asia-zec.2miners.com
168.119.146.54 asia.aionpool.tech
103.224.182.238 asia.bsod.pw
15.197.240.20 asia.dbixmine.pro
15.235.221.21 asia.equihash.mining-dutch.nl
135.181.20.223 asia.equihub.pro
178.128.199.90 asia.ethash-hub.miningpoolhub.com
104.238.150.114 asia.frostypool.com
15.235.221.21 asia.groestl.mining-dutch.nl
185.198.234.32 asia.kawpow-hub.miningpoolhub.com
15.235.221.21 asia.keccak.mining-dutch.nl
15.235.221.21 asia.lyra2rev2.mining-dutch.nl
207.148.127.135 asia.mecrypto.club
15.235.221.21 asia.myrgro.mining-dutch.nl
15.235.221.21 asia.neoscrypt.mining-dutch.nl
15.235.221.21 asia.qubit.mining-dutch.nl
178.128.199.90 asia.randomx-hub.miningpoolhub.com
5.223.53.134 asia.ravenminer.com
15.235.221.21 asia.scrypt.mining-dutch.nl
15.235.221.21 asia.sha256.mining-dutch.nl
172.104.84.180 asia.siamining.com
15.235.221.21 asia.skein.mining-dutch.nl
15.235.221.21 asia.tribus.mining-dutch.nl
15.235.221.21 asia.x11.mining-dutch.nl
15.235.221.21 asia.x11gost.mining-dutch.nl
15.235.221.21 asia.yescrypt.mining-dutch.nl
15.235.221.21 asia.yescryptr16.mining-dutch.nl
15.235.221.21 asia.yescryptr32.mining-dutch.nl
15.235.221.21 asia.yespower.mining-dutch.nl
15.235.221.21 asia.yespowerr16.mining-dutch.nl
34.102.152.90 asia1-beam.flypool.org
136.243.37.243 aspac-etc.hiveon.net
34.90.112.127 aspac1-etc.hiveon.net
34.90.112.127 aspac1-eth.hiveon.net
